time,cwnd
9.41927,10426
9.42527,11295
9.43127,11005
9.43727,10716
9.44327,10426
9.44927,5792
9.44927,7240
9.47327,5792
9.47927,4344
9.49726,5792
9.53436,7240
9.59327,8688
9.65327,10136
9.70728,9557
9.71328,10426
9.71928,11295
9.72528,11005
9.73128,10716
9.73728,10426
9.74327,5792
9.74327,7240
9.76728,5792
9.77328,4344
9.79127,5792
9.82837,7240
9.88727,8688
9.94728,10136
10.0013,9557
10.0073,10426
10.0133,11295
10.0193,11005
10.0253,10716
10.0313,10426
10.0373,5792
10.0373,7240
10.0613,5792
10.0673,4344
10.0853,5792
10.1224,7240
10.1813,8688
10.2413,10136
10.2953,9557
10.3013,10426
10.3073,11295
10.3133,11005
10.3193,10716
10.3253,10426
10.3313,5792
10.3313,7240
10.3553,5792
10.3613,4344
10.3793,5792
10.3945,7240
10.4873,8688
10.5473,10136
10.6013,5792
10.6253,7240
