burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate,traffic_ratio
7500,22500.0B,1832509.7131716998,94,0.010752688172043012,0.010752688172043012,-0.01647628722728257,0.01647628722728257,1698500.0,1863208.4711059474,1.0
12000,3750.0B,1224778.9819022776,110,0.028037383177570093,0.028037383177570093,0.03768257822661838,0.03768257822661838,1101410.0,1180302.1536657228,1.0
1500,3750.0B,1480270.4851234735,78,0.0,0.0,0.03666867256957189,0.03666867256957189,1298210.0,1427910.888301808,1.0
7500,7500.0B,1259802.4639360667,67,0.0,0.0,0.06614537033478049,0.06614537033478049,1143810.0,1181642.2966227166,1.0
37500,750000.0B,0.0,0,0.0,0.0,1.0,1.0,2184420.0,2020029.8251314224,1.0
37500,5625.0B,1479872.036736458,182,0.01675977653631285,0.01675977653631285,-0.003244074051677096,0.003244074051677096,1344020.0,1484688.476096587,1.0
1500,22500.0B,1814313.2388660135,95,0.010638297872340425,0.010638297872340425,0.017248720288653308,0.017248720288653308,1649050.0,1783549.2959393314,1.0
12000,5625.0B,1208916.9817893542,129,0.015748031496062992,0.015748031496062992,-0.01600564245900896,0.01600564245900896,1110810.0,1228581.2134232624,1.0
7500,187500.0B,1992869.705987963,55,0.0,0.0,0.04849235733664788,0.04849235733664788,1738360.0,1900700.2693373912,1.0
7500,300000.0B,1401028.9405845508,140,0.2962962962962963,0.2962962962962963,-0.2994955175813897,0.2994955175813897,2034590.0,2000028.5162305618,1.0
4500,225000.0B,1992457.511882706,73,0.0,0.0,0.005127688030966184,0.005127688030966184,1793270.0,1982292.9321406994,1.0
750,75000.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28782.73036178293,1.0
12000,9375.0B,1410959.2342903903,108,0.038461538461538464,0.038461538461538464,-0.010020995824955524,0.010020995824955524,1295530.0,1425241.574154546,1.0
150000,5625.0B,1762207.600091559,439,0.0,0.0,0.011861041350072477,0.011861041350072477,1652680.0,1741550.991764975,1.0
750,5625.0B,0.0,21,0.3125,0.3125,-1.0,1.0,77.8378,28782.73036178293,1.0
4500,22500.0B,1703570.7263373842,92,0.01098901098901099,0.01098901098901099,-0.01687660883390259,0.01687660883390259,1574030.0,1732814.763278853,1.0
150000,750000.0B,0.0,0,0.0,0.0,1.0,1.0,2328340.0,2092323.9835137478,1.0
7500,75000.0B,2000384.4562606225,65,0.015625,0.015625,0.005733385350346518,0.005733385350346518,1815660.0,1988980.8625213231,1.0
7500,375000.0B,2004509.3864911944,89,0.0,0.0,0.002242289457285128,0.002242289457285128,2096490.0,2000024.7520753066,1.0
37500,300000.0B,1702288.5310786918,129,0.40217391304347827,0.40217391304347827,-0.15784708910861714,0.15784708910861714,2049840.0,2021353.2590855646,1.0
4500,300000.0B,1415516.3915482643,139,0.28703703703703703,0.28703703703703703,-0.2914986010115994,0.2914986010115994,2033820.0,1997902.0416464114,1.0
750,150000.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28782.73036178293,1.0
150000,11250.0B,1859310.7255314148,421,0.0,0.0,0.0018730872035629853,0.0018730872035629853,1788620.0,1855834.5855173527,1.0
4500,150000.0B,2004311.7158508573,38,0.0,0.0,0.05594803333614063,0.05594803333614063,1780120.0,1898115.8660985199,1.0
150000,75000.0B,2000519.707080978,311,0.0,0.0,0.020479154249322735,0.020479154249322735,1941840.0,1960372.927512258,1.0
37500,225000.0B,1575542.519705275,125,0.8656716417910447,0.8656716417910447,-0.21968227601623497,0.21968227601623497,1977830.0,2019103.8487010647,1.0
750,15000.0B,0.0,21,4.25,4.25,-1.0,1.0,77.8378,28782.73036178293,1.0
150000,13125.0B,1837768.7727037447,414,0.0,0.0,-0.026275258371850234,0.026275258371850234,1771810.0,1887359.6347473317,1.0
7500,150000.0B,2012805.5604641577,37,0.0,0.0,0.035686071631345795,0.035686071631345795,1824340.0,1943451.4140889395,1.0
12000,187500.0B,1992852.7262370193,56,0.0,0.0,0.024271436385162232,0.024271436385162232,1776120.0,1945629.503513399,1.0
1500,750.0B,2195.429198694057,19,0.0,0.0,-0.9956248309684971,0.9956248309684971,1462.34,501793.00111289724,1.0
37500,750.0B,2921.1436917553406,19,0.0,0.0,-0.9957582285177949,0.9957582285177949,1920.0,688661.2595728181,1.0
12000,15000.0B,1870951.949123873,125,0.02459016393442623,0.02459016393442623,0.059771916906457556,0.059771916906457556,1696900.0,1765428.880758892,1.0
12000,75000.0B,2000542.7037604472,66,0.015384615384615385,0.015384615384615385,0.004026079507807056,0.004026079507807056,1815620.0,1992520.6571737179,1.0
150000,15000.0B,1910989.6675918824,483,0.002074688796680498,0.002074688796680498,-0.005554367230467254,0.005554367230467254,1785360.0,1921663.2912045408,1.0
4500,187500.0B,1992852.7262370193,56,0.0,0.0,0.03078546550999946,0.03078546550999946,1752810.0,1933334.1349075192,1.0
1500,1875.0B,579120.9087258509,85,0.024096385542168676,0.024096385542168676,0.12301205245654434,0.12301205245654434,466146.0,515685.3904275086,1.0
4500,750000.0B,0.0,0,0.0,0.0,1.0,1.0,2139280.0,1998014.6058905188,1.0
7500,750.0B,2921.1436917553406,19,0.0,0.0,-0.9957582285177949,0.9957582285177949,1920.0,688661.2595728181,1.0
37500,7500.0B,1471442.8192328766,194,0.015706806282722512,0.015706806282722512,-0.021748466372459706,0.021748466372459706,1361860.0,1504155.903315061,1.0
750,3750.0B,0.0,21,0.23529411764705882,0.23529411764705882,-1.0,1.0,77.8378,28782.73036178293,1.0
4500,3750.0B,1313424.1938357383,98,0.020833333333333332,0.020833333333333332,-0.000779507586483436,0.000779507586483436,1187800.0,1314448.8166603693,1.0
750,225000.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28782.73036178293,1.0
1500,262500.0B,2008048.7758358715,87,0.0,0.0,0.008422161167693249,0.008422161167693249,1975700.0,1991277.9123285725,1.0
37500,22500.0B,1660584.1190172855,137,0.014814814814814815,0.014814814814814815,-0.02215071932450093,0.02215071932450093,1539470.0,1698200.4812338285,1.0
4500,75000.0B,2000542.7037604474,66,0.015384615384615385,0.015384615384615385,0.007004151776283785,0.007004151776283785,1815620.0,1986628.059310016,1.0
