burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate
1500,5625.0B,1308133.550897452,62,0.06896551724137931,0.06896551724137931,0.13340359992690326,0.13340359992690326,1145330.0,1154163.9279968916
37500,225000.0B,0.0,0,0.0,0.0,1.0,1.0,1918840.0,2016765.0663648774
1500,3750.0B,1151539.9707420908,57,0.03636363636363636,0.03636363636363636,0.001988466617849447,0.001988466617849447,1041970.0,1149254.7161037126
1500,11250.0B,1936138.079524904,64,0.04918032786885246,0.04918032786885246,0.007721042513885827,0.007721042513885827,1746970.0,1921303.6126495544
37500,150000.0B,0.0,0,0.0,0.0,1.0,1.0,1918840.0,2016765.0663648774
7500,5625.0B,1611239.260813175,98,0.010309278350515464,0.010309278350515464,0.0012137263052957453,0.0012137263052957453,1458260.0,1609286.0280282123
1500,750.0B,2921.1520379064045,19,0.0,0.0,-0.9941141089146126,0.9941141089146126,1920.0,496297.3312840576
7500,75000.0B,2000080.9069319624,46,0.045454545454545456,0.045454545454545456,0.05362836835480455,0.05362836835480455,1837210.0,1898279.2861348283
7500,15000.0B,1808118.0741805213,92,0.05747126436781609,0.05747126436781609,-0.014004504895407067,0.014004504895407067,1669870.0,1833799.5286567905
150000,7500.0B,1628399.3056596166,306,0.003278688524590164,0.003278688524590164,-0.07249034534067227,0.07249034534067227,1591080.0,1755668.307579746
150000,1875.0B,1680070.9039277306,334,0.0,0.0,-0.060842524870313636,0.060842524870313636,1624450.0,1788912.880340683
750,187500.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28628.23061630219
7500,225000.0B,0.0,0,0.0,0.0,1.0,1.0,1897590.0,1993908.4506875593
1500,15000.0B,1637913.594782825,72,0.014084507042253521,0.014084507042253521,0.005795643522335303,0.005795643522335303,1488550.0,1628475.5311196102
37500,262500.0B,0.0,0,0.0,0.0,1.0,1.0,1918840.0,2016765.0663648774
1500,262500.0B,0.0,0,0.0,0.0,1.0,1.0,1892250.0,1989369.5160135883
1500,750000.0B,0.0,0,0.0,0.0,1.0,1.0,1892250.0,1989369.5160135883
7500,150000.0B,0.0,0,0.0,0.0,1.0,1.0,1897590.0,1993908.4506875593
150000,225000.0B,0.0,0,0.0,0.0,1.0,1.0,2000090.0,2101898.5104900594
150000,15000.0B,1826488.8055691763,270,0.0037174721189591076,0.0037174721189591076,0.07770892886101488,0.07770892886101488,1681820.0,1694788.5989025955
37500,3750.0B,1597628.1587714707,199,0.015306122448979591,0.015306122448979591,-0.01271254958356749,0.01271254958356749,1468300.0,1618199.6014408972
750,150000.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28628.23061630219
37500,1875.0B,1615412.6343390862,200,0.06951871657754011,0.06951871657754011,-0.023004889301772503,0.023004889301772503,1503190.0,1653450.07016934
750,15000.0B,0.0,21,4.25,4.25,-1.0,1.0,77.8378,28628.23061630219
7500,13125.0B,1849164.32760761,88,0.011494252873563218,0.011494252873563218,0.0010276988570705465,0.0010276988570705465,1675370.0,1847265.8945590663
150000,13125.0B,1747076.6270225502,283,0.010714285714285714,0.010714285714285714,-0.07127861679210523,0.07127861679210523,1709100.0,1881163.3484608443
150000,750.0B,2921.1520379064045,19,0.0,0.0,-0.9943624726295471,0.9943624726295471,1920.0,518161.92560175055
7500,750.0B,2921.1520379064045,19,0.0,0.0,-0.9943624726295471,0.9943624726295471,1920.0,518161.92560175055
37500,9375.0B,1650396.139334451,163,0.006172839506172839,0.006172839506172839,0.025623301454506923,0.025623301454506923,1481910.0,1609164.0439466524
750,262500.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28628.23061630219
1500,9375.0B,1916306.7414548672,83,0.0375,0.0375,0.007691694174632461,0.007691694174632461,1740700.0,1901679.6035264058
7500,7500.0B,1582378.027411119,76,0.013333333333333334,0.013333333333333334,0.006411965183458877,0.006411965183458877,1425060.0,1572296.5168867675
1500,300000.0B,0.0,0,0.0,0.0,1.0,1.0,1892250.0,1989369.5160135883
1500,187500.0B,0.0,0,0.0,0.0,1.0,1.0,1892250.0,1989369.5160135883
7500,300000.0B,0.0,0,0.0,0.0,1.0,1.0,1897590.0,1993908.4506875593
150000,3750.0B,1709072.899359146,297,0.0033783783783783786,0.0033783783783783786,-0.009140623366284382,0.009140623366284382,1621110.0,1724839.0030535357
150000,187500.0B,0.0,0,0.0,0.0,1.0,1.0,2000090.0,2101898.5104900594
150000,262500.0B,0.0,0,0.0,0.0,1.0,1.0,2000090.0,2101898.5104900594
7500,9375.0B,1791415.0186037796,95,0.021505376344086023,0.021505376344086023,0.10027552822661716,0.10027552822661716,1627290.0,1628151.288151537
750,5625.0B,0.0,21,0.3125,0.3125,-1.0,1.0,77.8378,28628.23061630219
1500,13125.0B,1815629.6137190089,84,0.024390243902439025,0.024390243902439025,0.08815644891507601,0.08815644891507601,1651530.0,1668537.2912408367
750,75000.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28628.23061630219
750,375000.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28628.23061630219
150000,150000.0B,0.0,0,0.0,0.0,1.0,1.0,2000090.0,2101898.5104900594
150000,9375.0B,1773987.6639240095,284,0.0070921985815602835,0.0070921985815602835,-0.06607551887325266,0.06607551887325266,1723320.0,1899497.978448702
37500,300000.0B,0.0,0,0.0,0.0,1.0,1.0,1918840.0,2016765.0663648774
7500,750000.0B,0.0,0,0.0,0.0,1.0,1.0,1897590.0,1993908.4506875593
